ticker,chi_name
399612.SZ,中创100
399613.SZ,深证能源
399614.SZ,深证材料
399615.SZ,深证工业
399616.SZ,深证可选
399617.SZ,深证消费
399618.SZ,深证医药
399619.SZ,深证金融
399620.SZ,深证信息
399621.SZ,深证电信
399622.SZ,深证公用
399623.SZ,中小基础
399624.SZ,中创400
399625.SZ,中创500
399626.SZ,中创500成长
399627.SZ,中创500价值
399628.SZ,700成长
399629.SZ,700价值
399630.SZ,1000成长
399631.SZ,1000价值
399632.SZ,深100EW
399633.SZ,深300EW
399634.SZ,中小板EW
399635.SZ,创业板EW
399636.SZ,深证装备
399637.SZ,深证地产
399638.SZ,深证环保
399639.SZ,深证大宗
399640.SZ,创业基础
399641.SZ,深证新兴
399642.SZ,中小新兴
399643.SZ,创业新兴
399644.SZ,深证时钟
399645.SZ,100低波
399646.SZ,深消费50
399647.SZ,深医药50
399648.SZ,深证GDP100
399649.SZ,中小板红利
399650.SZ,中小板治理
399651.SZ,中小板责任
399652.SZ,中创高新
399653.SZ,深证龙头
399654.SZ,深证文化
399655.SZ,深证绩效
399656.SZ,100绩效
399657.SZ,300绩效
399658.SZ,中小绩效
399659.SZ,深成指EW
399660.SZ,中创EW
399661.SZ,深证低波
399662.SZ,深证高贝
399663.SZ,中小低波
399664.SZ,中小高贝
399665.SZ,中创低波
399666.SZ,中创高贝
399667.SZ,创业板G
399668.SZ,创业板V
399669.SZ,深证农业
399670.SZ,深周期50
399671.SZ,深防御50
399672.SZ,深红利50
399673.SZ,创业板50
399674.SZ,深A医药
399675.SZ,深互联网
399676.SZ,深医药EW
399677.SZ,深互联EW
399678.SZ,深次新股
399679.SZ,深证200R
399680.SZ,深成能源
399681.SZ,深成材料
399682.SZ,深成工业
399683.SZ,深成可选
399684.SZ,深成消费
399685.SZ,深成医药
399686.SZ,深成金融
399687.SZ,深成信息
399688.SZ,深成电信
399689.SZ,深成公用
399690.SZ,中小专利
399691.SZ,创业专利
399692.SZ,创业低波
399693.SZ,安防产业
399694.SZ,创业高贝
399695.SZ,深证节能
399696.SZ,深证创投
399697.SZ,中关村60
399698.SZ,优势成长
399699.SZ,金融科技
399701.SZ,深证F60
399702.SZ,深证F120
399703.SZ,深证F200
399704.SZ,深证上游
399705.SZ,深证中游
399706.SZ,深证下游
399707.CSI,CSSW证券(CSI)
399707.SZ,CSSW证券
399802.SZ,500深市
399803.SZ,工业4.0
399804.SZ,中证体育
399805.SZ,互联金融
399806.SZ,环境治理
399807.SZ,高铁产业
399808.SZ,中证新能
399809.SZ,保险主题
399810.CSI,CSSW传媒(CSI)
399810.SZ,CSSW传媒
399811.CSI,CSSW电子(CSI)
399811.SZ,CSSW电子
399812.SZ,养老产业
399813.SZ,中证国安
399814.SZ,大农业
399817.CSI,生态100(CSI)
399817.SZ,生态100
399959.SZ,军工指数
399965.SZ,中证800地产
399966.SZ,中证800证保
399967.SZ,中证军工
399970.CSI,中证移动互联(CSI)
399970.SZ,中证移动互联
399971.CSI,中证传媒(CSI)
399971.SZ,中证传媒
399972.SZ,300深市
399973.CSI,中证国防(CSI)
399973.SZ,中证国防
399974.SZ,国企改革
